temp_c,temp_max_c,temp_min_c,rain_mm,wind_kmh,wind_gust_kmh,humidity,conditions,venue,date_str,lat,lon
18.5,24.4,13.9,0.0,11.4,27.0,78.0,Partially cloudy,M.C.G.,2021-03-18,-37.82,144.9834
15.6,17.4,11.4,0.0,33.9,85.0,59.1,Partially cloudy,Docklands,2023-08-04,-37.8165,144.9475
8.0,11.9,4.9,4.765,24.7,0.0,87.2,"Rain, Partially cloudy",Docklands,2012-07-29,-37.8165,144.9475
10.3,12.3,6.2,0.164,27.3,54.4,81.3,"Rain, Partially cloudy",Docklands,2018-06-29,-37.8165,144.9475
23.5,28.5,19.8,0.066,20.0,23.0,74.0,"Rain, Partially cloudy",Carrara,2021-03-27,-28.0067,153.3667
9.8,11.1,8.0,1.571,25.2,49.0,73.4,"Rain, Partially cloudy",Adelaide Oval,2025-08-16,-34.9156,138.5961
19.9,24.5,15.0,3.201,36.6,46.1,72.0,"Rain, Partially cloudy",Gabba,2018-07-07,-27.4858,153.0381
11.9,17.2,6.8,0.0,29.0,0.0,71.8,Partially cloudy,M.C.G.,2013-04-20,-37.82,144.9834
19.0,24.9,13.8,0.0,18.6,0.0,68.7,Clear,Carrara,2013-04-20,-28.0067,153.3667
12.6,17.8,8.0,0.016,16.0,23.8,81.5,"Rain, Partially cloudy",S.C.G.,2020-07-09,-33.8917,151.2247
18.8,21.8,13.9,1.276,23.4,56.2,76.3,"Rain, Partially cloudy",Carrara,2020-08-15,-28.0067,153.3667
8.6,10.0,7.1,3.911,26.1,0.0,85.2,"Rain, Overcast",Docklands,2012-08-17,-37.8165,144.9475
25.6,31.0,20.9,0.006,29.0,37.1,72.3,"Rain, Partially cloudy",Carrara,2014-04-12,-28.0067,153.3667
17.8,21.4,14.9,0.0,27.5,42.5,59.2,Partially cloudy,S.C.G.,2014-04-19,-33.8917,151.2247
13.7,21.1,5.9,0.0,26.5,28.4,61.6,Clear,Carrara,2018-06-16,-28.0067,153.3667
11.4,15.4,8.0,0.796,11.3,26.6,79.2,"Rain, Partially cloudy",Docklands,2023-04-29,-37.8165,144.9475
9.8,14.1,6.1,0.096,20.5,28.8,82.0,"Rain, Partially cloudy",Adelaide Oval,2017-06-09,-34.9156,138.5961
16.3,21.7,11.3,0.0,22.1,34.9,68.7,Partially cloudy,Kardinia Park,2021-03-26,-38.1581,144.3547
19.2,26.3,14.5,0.528,30.7,40.7,64.0,"Rain, Partially cloudy",Docklands,2013-04-07,-37.8165,144.9475
11.4,19.5,5.4,0.141,12.1,0.0,80.5,Rain,Subiaco,2012-06-30,-31.9444,115.8308
12.0,15.9,7.1,0.664,34.0,0.0,64.5,"Rain, Partially cloudy",M.C.G.,2012-05-11,-37.82,144.9834
15.9,20.1,10.8,0.0,22.3,30.2,44.6,Partially cloudy,Traeger Park,2016-05-28,-23.7,133.8667
15.1,19.0,11.1,1.796,13.1,29.5,83.6,"Rain, Partially cloudy",M.C.G.,2024-05-11,-37.82,144.9834
11.0,13.9,7.4,2.821,31.2,57.6,74.5,"Rain, Partially cloudy",Docklands,2024-07-26,-37.8165,144.9475
13.2,17.8,8.5,0.042,14.8,23.8,77.5,"Rain, Partially cloudy",Adelaide Oval,2021-04-25,-34.9156,138.5961
25.1,31.0,21.0,0.0,16.6,28.1,73.2,Partially cloudy,Marrara Oval,2018-07-07,-12.4083,130.8736
17.2,22.1,12.4,0.018,21.6,43.9,47.0,"Rain, Partially cloudy",Carrara,2019-05-11,-28.0067,153.3667
19.5,24.8,14.3,0.0,13.2,39.2,72.1,Partially cloudy,M.C.G.,2021-03-20,-37.82,144.9834
16.7,22.0,12.0,4.989,20.1,24.5,84.3,"Rain, Partially cloudy",Gabba,2020-07-12,-27.4858,153.0381
